item_id,year,month,week,day,brand,subbrand,customer,sales
11001,2022,1,52,1,Aveeno,Calm + Restore,Target,6519
11001,2022,1,52,2,Aveeno,Calm + Restore,Walmart,7408
11001,2022,1,1,3,Aveeno,Calm + Restore,Amazon,8793
11001,2022,1,1,4,Aveeno,Calm + Restore,Amazon,8421
11001,2022,1,1,6,Aveeno,Calm + Restore,Walmart,10371
11001,2022,1,1,7,Aveeno,Calm + Restore,Amazon,8074
11001,2022,1,1,8,Aveeno,Calm + Restore,Walmart,6644
11001,2022,1,1,9,Aveeno,Calm + Restore,Walgreen,7901
11001,2022,1,2,10,Aveeno,Calm + Restore,Target,8594
11001,2022,1,2,11,Aveeno,Calm + Restore,Target,6513
11001,2022,1,2,12,Aveeno,Calm + Restore,Target,7325
11001,2022,1,2,14,Aveeno,Calm + Restore,Walmart,7612
11001,2022,1,2,15,Aveeno,Calm + Restore,Amazon,6208
11001,2022,1,3,18,Aveeno,Calm + Restore,Walgreen,7881
11001,2022,1,3,19,Aveeno,Calm + Restore,Target,7163
11001,2022,1,3,21,Aveeno,Calm + Restore,Target,9233
11001,2022,1,3,22,Aveeno,Calm + Restore,Target,7263
11001,2022,1,3,23,Aveeno,Calm + Restore,Amazon,7134
11001,2022,1,4,24,Aveeno,Calm + Restore,Walmart,8441
11001,2022,1,4,25,Aveeno,Calm + Restore,Target,7505
11001,2022,1,4,26,Aveeno,Calm + Restore,Walmart,7555
11001,2022,1,4,28,Aveeno,Calm + Restore,Walgreen,6719
11001,2022,1,4,29,Aveeno,Calm + Restore,Walmart,7501
11001,2022,1,4,30,Aveeno,Calm + Restore,Target,8259
11001,2022,1,5,31,Aveeno,Calm + Restore,Walmart,7134
11001,2022,2,5,1,Aveeno,Calm + Restore,Amazon,8611
11001,2022,2,5,2,Aveeno,Calm + Restore,Amazon,7737
11001,2022,2,5,3,Aveeno,Calm + Restore,Target,8093
11001,2022,2,5,4,Aveeno,Calm + Restore,Target,8256
11001,2022,2,5,6,Aveeno,Calm + Restore,Amazon,7859
11001,2022,2,6,7,Aveeno,Calm + Restore,Target,7201
11001,2022,2,6,8,Aveeno,Calm + Restore,Walgreen,9199
11001,2022,2,6,9,Aveeno,Calm + Restore,Target,7856
11001,2022,2,6,11,Aveeno,Calm + Restore,Walgreen,8695
11001,2022,2,6,12,Aveeno,Calm + Restore,Walgreen,8494
11001,2022,2,6,13,Aveeno,Calm + Restore,Walmart,6635
11001,2022,2,7,14,Aveeno,Calm + Restore,Walmart,7749
11001,2022,2,7,15,Aveeno,Calm + Restore,Amazon,8846
11001,2022,2,7,17,Aveeno,Calm + Restore,Walmart,9207
11001,2022,2,7,18,Aveeno,Calm + Restore,Amazon,8074
11001,2022,2,7,19,Aveeno,Calm + Restore,Amazon,9584
11001,2022,2,7,20,Aveeno,Calm + Restore,Amazon,7584
11001,2022,2,8,21,Aveeno,Calm + Restore,Amazon,7111
11001,2022,2,8,25,Aveeno,Calm + Restore,Walgreen,6543
11001,2022,2,8,26,Aveeno,Calm + Restore,Target,7590
11001,2022,2,8,27,Aveeno,Calm + Restore,Walgreen,7718
11001,2022,2,9,28,Aveeno,Calm + Restore,Target,9682
11001,2022,3,9,2,Aveeno,Calm + Restore,Walmart,7725
11001,2022,3,9,4,Aveeno,Calm + Restore,Walgreen,8202
11001,2022,3,9,5,Aveeno,Calm + Restore,Amazon,9005
11001,2022,3,10,7,Aveeno,Calm + Restore,Walgreen,8455
11001,2022,3,10,8,Aveeno,Calm + Restore,Walmart,8790
11001,2022,3,10,9,Aveeno,Calm + Restore,Target,7632
11001,2022,3,10,10,Aveeno,Calm + Restore,Walmart,9931
11001,2022,3,10,11,Aveeno,Calm + Restore,Target,8373
11001,2022,3,10,12,Aveeno,Calm + Restore,Target,7797
11001,2022,3,10,13,Aveeno,Calm + Restore,Walmart,8012
11001,2022,3,11,14,Aveeno,Calm + Restore,Amazon,7608
11001,2022,3,11,15,Aveeno,Calm + Restore,Walmart,8062
11001,2022,3,11,16,Aveeno,Calm + Restore,Walgreen,7787
11001,2022,3,11,17,Aveeno,Calm + Restore,Amazon,8892
11001,2022,3,11,18,Aveeno,Calm + Restore,Amazon,8808
11001,2022,3,11,19,Aveeno,Calm + Restore,Walmart,10091
11001,2022,3,11,20,Aveeno,Calm + Restore,Walgreen,7877
11001,2022,3,12,21,Aveeno,Calm + Restore,Walgreen,8301
11001,2022,3,12,22,Aveeno,Calm + Restore,Amazon,8941
11001,2022,3,12,24,Aveeno,Calm + Restore,Walmart,9124
11001,2022,3,12,25,Aveeno,Calm + Restore,Amazon,9609
11001,2022,3,12,26,Aveeno,Calm + Restore,Target,9294
11001,2022,3,13,29,Aveeno,Calm + Restore,Amazon,8750
11001,2022,3,13,30,Aveeno,Calm + Restore,Walgreen,7422
11001,2022,3,13,31,Aveeno,Calm + Restore,Walmart,8473
11001,2022,4,13,1,Aveeno,Calm + Restore,Target,8785
11001,2022,4,13,3,Aveeno,Calm + Restore,Walmart,9381
11001,2022,4,14,4,Aveeno,Calm + Restore,Walmart,7410
11001,2022,4,14,5,Aveeno,Calm + Restore,Walmart,8910
11001,2022,4,14,7,Aveeno,Calm + Restore,Walmart,7929
11001,2022,4,14,8,Aveeno,Calm + Restore,Walmart,7304
11001,2022,4,14,9,Aveeno,Calm + Restore,Target,7066
11001,2022,4,14,10,Aveeno,Calm + Restore,Walgreen,9364
11001,2022,4,15,11,Aveeno,Calm + Restore,Amazon,9743
11001,2022,4,15,12,Aveeno,Calm + Restore,Walgreen,7552
11001,2022,4,15,13,Aveeno,Calm + Restore,Walgreen,8375
11001,2022,4,15,14,Aveeno,Calm + Restore,Walgreen,6917
11001,2022,4,15,16,Aveeno,Calm + Restore,Walmart,8857
11001,2022,4,15,17,Aveeno,Calm + Restore,Amazon,8241
11001,2022,4,16,19,Aveeno,Calm + Restore,Amazon,8787
11001,2022,4,16,20,Aveeno,Calm + Restore,Amazon,8331
11001,2022,4,16,22,Aveeno,Calm + Restore,Walgreen,9850
11001,2022,4,16,23,Aveeno,Calm + Restore,Target,6780
11001,2022,4,16,24,Aveeno,Calm + Restore,Walmart,7868
11001,2022,4,17,25,Aveeno,Calm + Restore,Walmart,8730
11001,2022,4,17,27,Aveeno,Calm + Restore,Target,9301
11001,2022,4,17,28,Aveeno,Calm + Restore,Amazon,8597
11001,2022,4,17,29,Aveeno,Calm + Restore,Walmart,9060
11001,2022,4,17,30,Aveeno,Calm + Restore,Target,7439
11001,2022,5,17,1,Aveeno,Calm + Restore,Walmart,7948
11001,2022,5,18,3,Aveeno,Calm + Restore,Walmart,7319
11001,2022,5,18,5,Aveeno,Calm + Restore,Walgreen,6338
11001,2022,5,18,7,Aveeno,Calm + Restore,Walmart,8432
11001,2022,5,18,8,Aveeno,Calm + Restore,Target,8844
11001,2022,5,19,9,Aveeno,Calm + Restore,Target,8390
11001,2022,5,19,10,Aveeno,Calm + Restore,Amazon,7318
11001,2022,5,19,11,Aveeno,Calm + Restore,Amazon,5539
11001,2022,5,19,12,Aveeno,Calm + Restore,Walmart,8677
